Time,SSI,symbol
3/4/2016,44.93,6E
3/3/2016,46.5,6E
3/2/2016,50.97,6E
3/1/2016,51.79,6E
2/29/2016,51.97,6E
2/26/2016,51.79,6E
2/25/2016,44.89,6E
2/24/2016,44.95,6E
2/23/2016,45.22,6E
2/22/2016,46.71,6E
2/19/2016,39.01,6E
2/18/2016,42.12,6E
2/17/2016,40.73,6E
2/16/2016,40.25,6E
2/15/2016,40,6E
2/12/2016,35.87,6E
2/11/2016,33.02,6E
2/10/2016,32.91,6E
2/9/2016,31.6,6E
2/8/2016,33.19,6E
2/5/2016,35.04,6E
2/4/2016,31.15,6E
2/3/2016,31.65,6E
2/2/2016,37.82,6E
2/1/2016,39.43,6E
1/29/2016,49.14,6E
1/28/2016,36.25,6E
1/27/2016,40.98,6E
1/26/2016,42.62,6E
1/25/2016,42.75,6E
1/22/2016,48.97,6E
1/21/2016,42.03,6E
1/20/2016,42.96,6E
1/19/2016,39.35,6E
1/18/2016,41.78,6E
1/15/2016,38.01,6E
1/14/2016,44.02,6E
1/13/2016,42.5,6E
1/12/2016,44.51,6E
1/11/2016,44.72,6E
1/8/2016,39.58,6E
1/7/2016,38.52,6E
1/6/2016,44.07,6E
1/5/2016,49.72,6E
1/4/2016,46.72,6E
12/31/2015,43.33,6E
12/30/2015,38.81,6E
12/29/2015,38.62,6E
12/28/2015,37.06,6E
12/24/2015,38.26,6E
12/23/2015,41.2,6E
12/22/2015,37.05,6E
12/21/2015,39.77,6E
12/18/2015,41.7,6E
12/17/2015,47.11,6E
12/16/2015,42.74,6E
12/15/2015,45.16,6E
12/14/2015,37.42,6E
12/11/2015,36.57,6E
12/10/2015,39.22,6E
12/9/2015,34.98,6E
12/8/2015,39.45,6E
12/7/2015,43.74,6E
12/4/2015,40.98,6E
12/3/2015,34.98,6E
12/2/2015,51.04,6E
12/1/2015,48.91,6E
11/30/2015,57.55,6E
11/27/2015,55.07,6E
11/26/2015,55.97,6E
11/25/2015,54.59,6E
11/24/2015,53.5,6E
11/23/2015,55.21,6E
11/20/2015,58.05,6E
11/19/2015,49.39,6E
11/18/2015,53.75,6E
11/17/2015,56.01,6E
11/16/2015,56.28,6E
11/13/2015,53.21,6E
11/12/2015,48.02,6E
11/11/2015,51.32,6E
11/10/2015,52.68,6E
11/9/2015,53.06,6E
11/6/2015,56.8,6E
11/5/2015,55.56,6E
11/4/2015,57.22,6E
11/3/2015,53.34,6E
11/2/2015,49.69,6E
10/30/2015,50.46,6E
10/29/2015,50.26,6E
10/28/2015,55.74,6E
10/27/2015,53.53,6E
10/26/2015,52.44,6E
10/23/2015,57.8,6E
10/22/2015,55.69,6E
10/21/2015,38.75,6E
10/20/2015,38.28,6E
10/19/2015,37.6,6E
10/16/2015,35.46,6E
10/15/2015,34.9,6E
10/14/2015,29.25,6E
10/13/2015,32.63,6E
10/12/2015,34.14,6E
10/9/2015,33.25,6E
10/8/2015,39.94,6E
10/7/2015,43.09,6E
10/6/2015,37.32,6E
10/5/2015,49,6E
10/2/2015,44.17,6E
10/1/2015,45.43,6E
9/30/2015,47.82,6E
9/29/2015,40.04,6E
9/28/2015,37.54,6E
9/25/2015,41.46,6E
9/24/2015,42.5,6E
9/23/2015,46.27,6E
9/22/2015,49.04,6E
9/21/2015,46.76,6E
9/18/2015,43.29,6E
9/17/2015,36.48,6E
9/16/2015,42.85,6E
9/15/2015,43.37,6E
9/14/2015,37.71,6E
9/11/2015,35.94,6E
9/10/2015,37.93,6E
9/9/2015,40.71,6E
9/8/2015,42.02,6E
9/7/2015,42.49,6E
9/4/2015,44.44,6E
9/3/2015,45.61,6E
9/2/2015,44.29,6E
9/1/2015,42.52,6E
8/31/2015,42.3,6E
8/28/2015,42.35,6E
8/27/2015,39.58,6E
8/26/2015,37.72,6E
8/25/2015,34.33,6E
8/24/2015,30.95,6E
8/21/2015,24.98,6E
8/20/2015,29.97,6E
8/19/2015,35.48,6E
8/18/2015,41.61,6E
8/17/2015,37.57,6E
